읍면동(법정동),등록주체_시군구,등록주체_대행업체,등록주체_기타(이벤트등),RFID종류_내장형,RFID종류_외장형,RFID종류_인식표,등록_품종수,동물소유자수,동물소유자당_동물등록수,합계,미승인,반려,데이터 기준일자
율동,8,44,0,33,12,7,19,38,1.37,52,0,0,2020-05-31
구미동,398,2045,5,1311,956,181,76,1955,1.25,2448,1,0,2020-05-31
궁내동,28,105,0,71,49,13,35,100,1.33,133,0,0,2020-05-31
금곡동,289,1285,1,860,624,91,65,1265,1.25,1575,0,0,2020-05-31
대장동,22,30,0,14,29,9,21,29,1.79,52,0,0,2020-05-31
동원동,6,54,0,30,25,5,19,46,1.3,60,0,0,2020-05-31
백현동,157,832,0,618,268,103,58,787,1.26,989,0,0,2020-05-31
분당동,221,1210,0,882,420,129,62,1109,1.29,1431,0,0,2020-05-31
삼평동,131,675,0,448,286,72,51,678,1.19,806,0,0,2020-05-31
서현동,404,2215,4,1572,788,263,66,2159,1.21,2623,0,0,2020-05-31
석운동,5,29,0,19,13,2,13,22,1.55,34,0,0,2020-05-31
수내동,387,1884,1,1303,791,178,65,1870,1.21,2272,0,0,2020-05-31
야탑동,444,2446,1,1770,925,196,79,2224,1.3,2891,0,0,2020-05-31
운중동,132,780,0,483,337,92,65,724,1.26,912,0,1,2020-05-31
이매동,237,1434,1,999,479,194,66,1393,1.2,1672,0,0,2020-05-31
정자동,475,4371,6,3092,1437,323,88,3898,1.24,4852,0,0,2020-05-31
판교동,117,743,0,478,300,82,60,673,1.28,860,0,0,2020-05-31
하산운동,0,3,0,3,0,0,3,3,1,3,0,0,2020-05-31
성남시 수정구,0,1,0,1,0,0,1,1,1,1,0,0,2020-05-31
고등동,15,107,0,81,24,17,30,83,1.47,122,0,0,2020-05-31
금토동,22,87,0,62,34,13,30,66,1.65,109,0,0,2020-05-31
단대동,81,645,0,480,170,76,43,559,1.3,726,0,0,2020-05-31
둔전동,2,14,0,5,3,8,9,13,1.23,16,0,0,2020-05-31
복정동,43,487,3,348,133,52,49,415,1.28,533,0,1,2020-05-31
사송동,4,47,0,33,14,4,20,40,1.28,51,0,0,2020-05-31
산성동,106,594,1,414,212,75,44,540,1.3,701,0,0,2020-05-31
상적동,4,55,0,32,16,11,22,39,1.51,59,0,0,2020-05-31
수진동,163,1559,1,1153,476,94,64,1321,1.3,1723,0,0,2020-05-31
시흥동,12,98,1,59,44,8,26,70,1.59,111,0,0,2020-05-31
신촌동,8,33,0,20,12,9,14,29,1.41,41,0,0,2020-05-31
신흥동,272,2385,2,1852,603,204,70,2074,1.28,2659,0,0,2020-05-31
심곡동,10,103,0,68,33,12,31,90,1.26,113,0,0,2020-05-31
양지동,71,410,1,304,148,30,40,393,1.23,482,0,0,2020-05-31
오야동,7,42,0,22,21,6,16,38,1.29,49,0,0,2020-05-31
창곡동,79,1099,1,612,295,272,52,883,1.34,1179,0,0,2020-05-31
태평동,429,3221,1,2290,1051,310,78,2694,1.36,3651,0,1,2020-05-31
중동,0,641,0,641,0,0,30,462,1.39,641,0,0,2020-05-31
갈현동,5,21,0,17,5,4,14,21,1.24,26,0,0,2020-05-31
금광동,259,1804,1,1382,517,165,59,1603,1.29,2064,0,0,2020-05-31
도촌동,80,650,0,441,238,51,46,617,1.18,730,0,0,2020-05-31
성남동,224,1688,0,1360,380,172,68,1385,1.38,1912,0,0,2020-05-31
여수동,36,254,2,135,121,36,41,229,1.28,292,0,0,2020-05-31
은행동,258,1809,1,1398,503,167,67,1559,1.33,2068,0,1,2020-05-31
중앙동,106,725,0,522,245,64,39,582,1.43,831,0,0,2020-05-31
상대원동,324,2883,0,2283,694,230,88,2418,1.33,3207,0,0,2020-05-31
하대원동,157,1007,0,817,226,121,60,900,1.29,1164,0,0,2020-05-31
