읍면동(법정동),등록주체_시군구,등록주체_대행업체,등록주체_기타(이벤트등),RFID종류_내장형,RFID종류_외장형,RFID종류_인식표,등록_품종수,동물소유자수,동물소유자당_동물등록수,합계,미승인,반려,데이터 기준일자
율동,8,50,0,38,12,8,21,43,1.35,58,0,0,2021-04-30
구미동,405,2258,3,1481,992,193,85,2117,1.26,2666,1,0,2021-04-30
궁내동,29,113,0,82,45,15,36,110,1.29,142,0,0,2021-04-30
금곡동,295,1431,1,972,648,107,66,1375,1.26,1727,0,0,2021-04-30
대장동,22,31,0,13,31,9,22,29,1.83,53,0,0,2021-04-30
동원동,6,58,0,35,24,5,20,51,1.25,64,0,0,2021-04-30
백현동,161,995,0,752,288,116,62,909,1.27,1156,0,0,2021-04-30
분당동,225,1374,0,1008,448,143,69,1244,1.29,1599,0,0,2021-04-30
삼평동,130,804,0,545,306,83,58,789,1.18,934,0,0,2021-04-30
서현동,430,2536,4,1823,842,305,80,2389,1.24,2970,0,1,2021-04-30
석운동,5,33,0,23,13,2,17,25,1.52,38,0,0,2021-04-30
수내동,394,2127,1,1458,854,210,68,2070,1.22,2522,0,0,2021-04-30
야탑동,440,2647,1,1904,958,226,82,2410,1.28,3088,0,0,2021-04-30
운중동,134,1092,0,770,355,101,70,833,1.47,1226,0,1,2021-04-30
이매동,248,1650,1,1169,507,223,71,1581,1.2,1899,0,1,2021-04-30
정자동,486,4877,6,3438,1565,366,100,4284,1.25,5369,0,0,2021-04-30
판교동,118,860,0,569,315,94,63,771,1.27,978,0,0,2021-04-30
하산운동,0,3,0,3,0,0,3,3,1,3,0,0,2021-04-30
성남시 수정구,0,1,0,1,0,0,1,1,1,1,0,0,2021-04-30
고등동,20,163,0,108,48,27,35,127,1.44,183,0,0,2021-04-30
금토동,23,88,0,63,34,14,30,68,1.63,111,0,0,2021-04-30
단대동,82,707,0,525,176,88,45,610,1.29,789,0,0,2021-04-30
둔전동,2,17,0,7,4,8,11,15,1.27,19,0,0,2021-04-30
복정동,45,532,3,388,136,56,52,447,1.3,580,0,1,2021-04-30
사송동,4,52,0,36,16,4,22,44,1.27,56,0,0,2021-04-30
산성동,107,616,1,429,214,81,48,556,1.3,724,0,0,2021-04-30
상적동,4,59,0,35,16,12,25,42,1.5,63,0,0,2021-04-30
수진동,169,1907,1,1454,504,119,73,1456,1.43,2077,0,1,2021-04-30
시흥동,13,119,1,68,53,12,30,86,1.55,133,0,0,2021-04-30
신촌동,8,41,0,27,12,10,14,34,1.44,49,0,0,2021-04-30
신흥동,274,2613,2,2021,632,236,74,2245,1.29,2889,0,1,2021-04-30
심곡동,10,133,0,92,37,14,35,108,1.32,143,0,0,2021-04-30
양지동,71,452,1,329,161,34,44,423,1.24,524,0,0,2021-04-30
오야동,9,52,0,29,21,11,19,45,1.36,61,0,0,2021-04-30
창곡동,83,1424,1,836,352,320,56,1136,1.33,1508,0,0,2021-04-30
태평동,439,3512,1,2516,1093,343,87,2924,1.35,3952,0,0,2021-04-30
중동,0,628,0,628,0,0,29,454,1.38,628,0,0,2021-04-30
갈현동,5,22,0,17,5,5,14,21,1.29,27,0,0,2021-04-30
금광동,259,1964,1,1505,540,179,63,1720,1.29,2224,0,0,2021-04-30
도촌동,83,751,0,513,259,62,47,702,1.19,834,0,0,2021-04-30
성남동,228,1823,0,1447,409,195,76,1563,1.31,2051,0,0,2021-04-30
여수동,37,291,2,157,135,38,42,260,1.27,330,0,0,2021-04-30
은행동,262,1982,1,1536,523,186,71,1680,1.34,2245,0,1,2021-04-30
중앙동,105,802,0,585,251,71,45,630,1.44,907,0,0,2021-04-30
상대원동,319,3091,0,2456,717,237,88,2607,1.31,3410,0,0,2021-04-30
하대원동,160,1126,0,897,250,139,61,991,1.3,1286,0,0,2021-04-30
